"ARTICLE_DOI","AUTHOR_PRODUCTIVITY"
"10.1186/s12864-016-2917-6",30
"10.1111/evo.12633",11
"10.1186/s12915-014-0059-3",42
"10.1111/zoj.12324",59
"10.1002/psp4.12071",17
"10.1371/journal.pgen.1006421",256
"10.1371/journal.pone.0150465",38
"10.1093/bioinformatics/btw080",28
"10.1016/j.visres.2015.11.001",5
"10.3897/bdj.4.e9906",16
"10.1371/journal.pcbi.1005251",14
"10.1126/science.aag0511",36
"10.1534/genetics.115.184770",8
"10.12688/f1000research.10529.1",316
"10.1128/msystems.00028-16",28
"10.1534/g3.115.021220",14
"10.12688/f1000research.9211.1",11
"10.1038/ng.3875",2010
"10.1038/ng.3924",93
"10.1371/journal.pcbi.1005405",37
"10.1016/j.celrep.2015.02.058",4
"10.1038/nbt.3902",22
"10.1016/j.neuroimage.2016.12.058",43
"10.1371/journal.pntd.0004726",50
"10.7554/elife.29123",48
"10.1371/journal.pone.0182797",10
"10.1371/journal.pone.0189325",48
"10.7554/elife.28699",26
"10.1073/pnas.1606731113",10
"10.1101/gr.200097.115",9
"10.1371/journal.pgen.1005237",41
"10.1038/ncomms16032",34
"10.1534/genetics.116.195388",46
"10.1038/ncomms15128",18
"10.7717/peerj.4036",20
"10.1016/j.bbr.2017.05.029",54
"10.7554/elife.31816",56
"10.1093/gigascience/gix101",35
"10.1371/journal.pone.0113049",4
"10.1016/j.cels.2017.10.001",44
"10.1371/journal.pbio.2004050",122
"10.1523/jneurosci.3033-16.2017",26
"10.1534/genetics.116.194910",13
"10.1371/journal.pone.0126995",20
"10.1073/pnas.1617384114",472
"10.1038/s41598-017-10993-9",13
"10.1016/j.ympev.2017.02.008",22
"10.1152/ajprenal.00067.2017",25
"10.1098/rsif.2017.0213",392
"10.1091/mbc.e16-05-0300",4
"10.7717/peerj.3081",27
"10.7554/elife.22323",40
"10.7554/elife.25281",13
"10.1098/rstb.2016.0049",34
"10.1038/s41598-017-05484-w",2185
"10.7554/elife.28600",36
"10.1093/bib/bbw013",14
"10.1093/nar/gkx794",4
"10.1016/j.chom.2015.03.013",13
"10.1016/j.ccell.2016.12.006",13
"10.1371/journal.ppat.1006370",10
"10.1016/j.meegid.2017.04.008",2316
"10.1038/nsmb.3325",12
"10.1093/molbev/msw275",89
