PREPRINT_DOI,CITATION_INTERVAL,CITATIONS,LOG_CITATIONS
10.1101/000257,12,0,0
10.1101/000257,13,0,0
10.1101/000257,14,0,0
10.1101/000257,15,0,0
10.1101/000257,16,0,0
10.1101/000257,17,0,0
10.1101/000257,18,0,0
10.1101/000257,19,0,0
10.1101/000257,20,0,0
10.1101/000257,21,0,0
10.1101/000257,22,0,0
10.1101/000257,23,0,0
10.1101/000257,24,0,0
10.1101/000265,-12,0,0
10.1101/000265,-11,0,0
10.1101/000265,-10,0,0
10.1101/000265,-9,0,0
10.1101/000265,-8,0,0
10.1101/000265,-7,0,0
10.1101/000265,-6,0,0
10.1101/000265,-5,0,0
10.1101/000265,-4,0,0
10.1101/000265,-3,0,0
10.1101/000265,-2,0,0
10.1101/000265,-1,0,0
10.1101/000265,0,0,0
10.1101/000265,1,0,0
10.1101/000265,2,0,0
10.1101/000265,3,0,0
10.1101/000265,4,0,0
10.1101/000265,5,0,0
10.1101/000265,6,0,0
10.1101/000265,7,0,0
10.1101/000265,8,0,0
10.1101/000265,9,0,0
10.1101/000265,10,0,0
10.1101/000265,11,0,0
10.1101/000265,12,0,0
10.1101/000265,13,0,0
10.1101/000307,-5,0,0
10.1101/000307,-4,0,0
10.1101/000307,-3,0,0
10.1101/000307,-2,0,0
10.1101/000307,-1,0,0
10.1101/000307,0,0,0
10.1101/000307,1,0,0
10.1101/000307,2,0,0
10.1101/000307,3,0,0
10.1101/000307,4,0,0
10.1101/000307,5,0,0
10.1101/000307,6,0,0
10.1101/000307,7,0,0
10.1101/000307,8,0,0
10.1101/000307,9,0,0
10.1101/000307,10,0,0
10.1101/000307,11,0,0
10.1101/000307,12,0,0
10.1101/000307,13,0,0
10.1101/000307,14,0,0
10.1101/000307,15,0,0
10.1101/000307,16,0,0
10.1101/000307,17,0,0
10.1101/000307,18,0,0
10.1101/000307,19,0,0
10.1101/000307,20,0,0
10.1101/000307,21,0,0
10.1101/000307,22,0,0
10.1101/000307,23,0,0
