"PREPRINT_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/002766",TRUE,8.248,0,1,0,0,0,9
"10.1101/002782",TRUE,1.75,6,0,0,0,0,18
"10.1101/002741",TRUE,2.25,5,0,0,0,0,28
"10.1101/002790",TRUE,2.85,6,0,0,0,0,1
"10.1101/002808",TRUE,19.888,6,2,0,0,0,1
"10.1101/002816",TRUE,3.25,7,0,0,0,0,24
"10.1101/002832",TRUE,40.2,63,1,0,0,0,28
"10.1101/002865",TRUE,12.498,4,1,0,0,0,1
"10.1101/002873",FALSE,0,0,0,0,0,0,0
"10.1101/002881",TRUE,0.25,1,0,0,0,0,12
"10.1101/002899",TRUE,20.498,21,1,0,0,0,8
"10.1101/002907",TRUE,0.75,2,0,0,0,0,3
"10.1101/002923",TRUE,0.25,1,0,0,0,0,143
"10.1101/002931",TRUE,34.198,43,1,0,0,0,3
"10.1101/002956",TRUE,6.15,11,0,0,0,0,109
"10.1101/002964",TRUE,4.1,11,0,0,0,0,31
"10.1101/002972",TRUE,8.1,18,0,0,0,0,4
"10.1101/002980",TRUE,0.25,1,0,0,0,0,0
"10.1101/002998",TRUE,17.698,13,1,0,0,0,7
"10.1101/003004",TRUE,12.498,5,1,0,0,0,0
"10.1101/003012",TRUE,0.5,1,0,0,0,0,0
"10.1101/003053",TRUE,11.282,9,1,0,0,0,4
"10.1101/003087",TRUE,5.75,11,0,0,0,0,13
"10.1101/003061",TRUE,15.748,13,1,0,0,0,26
"10.1101/003095",TRUE,1.5,1,0,0,0,0,4
"10.1101/003111",TRUE,2.6,6,0,0,0,0,0
"10.1101/003137",TRUE,0.5,1,0,0,0,0,0
"10.1101/003103",TRUE,0.5,1,0,0,0,0,11
"10.1101/003129",TRUE,2.75,4,0,0,0,0,8
"10.1101/003145",TRUE,0.5,1,0,0,0,0,2
"10.1101/003152",FALSE,0,0,0,0,0,0,0
"10.1101/003178",TRUE,4.1,7,0,0,0,0,73
"10.1101/003160",TRUE,21.748,6,2,0,0,0,0
"10.1101/003186",FALSE,0,0,0,0,0,0,0
"10.1101/003194",TRUE,16.048,9,1,0,0,0,5
"10.1101/003210",TRUE,0.75,2,0,0,0,0,4
"10.1101/003228",FALSE,0,0,0,0,0,0,0
"10.1101/003244",FALSE,0,0,0,0,0,0,0
"10.1101/003277",TRUE,3.35,7,0,0,0,0,1
"10.1101/003285",TRUE,30.798,40,1,0,0,0,19
"10.1101/003269",TRUE,1.25,2,0,0,0,0,4
"10.1101/003293",TRUE,2.6,6,0,0,0,0,6
"10.1101/003319",TRUE,41.176,47,2,0,0,0,76
"10.1101/003376",TRUE,9.5,5,1,0,0,0,2
"10.1101/003327",TRUE,0.75,3,0,0,0,0,0
"10.1101/003335",TRUE,0.5,1,0,0,0,0,0
"10.1101/003350",TRUE,8.25,4,1,0,0,0,3
"10.1101/003368",TRUE,1.35,3,0,0,0,0,0
"10.1101/003384",TRUE,0.5,1,0,0,0,0,1
"10.1101/003400",TRUE,1.25,2,0,0,0,0,1
"10.1101/003442",TRUE,10.25,8,1,0,0,0,3
"10.1101/003459",TRUE,0.25,1,0,0,0,0,0
"10.1101/003467",TRUE,10.25,7,1,0,0,0,1
"10.1101/003475",TRUE,0.25,1,0,0,0,0,0
"10.1101/003483",FALSE,0,0,0,0,0,0,0
"10.1101/003491",TRUE,0.25,1,0,0,0,0,0
"10.1101/003517",TRUE,57.63,77,2,0,0,0,26
"10.1101/003525",TRUE,3.6,8,0,0,0,0,1
"10.1101/003541",TRUE,23.95,46,0,0,0,0,34
"10.1101/003566",TRUE,27.05,51,0,0,0,0,37
"10.1101/003533",FALSE,0,0,0,0,0,0,0
"10.1101/003558",TRUE,2.5,6,0,0,0,0,13
"10.1101/003574",TRUE,16.55,9,1,0,0,0,4
"10.1101/003616",TRUE,0.25,1,0,0,0,0,9
"10.1101/003608",TRUE,4.2,9,0,0,0,0,3
"10.1101/003640",TRUE,7.7,16,0,0,0,0,0
"10.1101/003665",TRUE,47.218,50,3,0,0,0,116
"10.1101/003624",TRUE,0.25,1,0,0,0,0,6
"10.1101/003657",TRUE,4.2,8,0,0,0,0,42
"10.1101/003673",TRUE,1.5,5,0,0,0,0,0
"10.1101/003707",TRUE,0.75,3,0,0,0,0,0
"10.1101/003749",TRUE,10,6,1,0,0,0,16
"10.1101/003764",TRUE,15.95,18,1,0,0,0,17
"10.1101/003772",TRUE,8.5,4,1,0,0,0,1
"10.1101/003731",TRUE,1.5,4,0,0,0,0,3
"10.1101/003723",TRUE,10.75,9,1,0,0,0,3
"10.1101/003780",TRUE,10,6,1,0,0,0,0
"10.1101/003806",TRUE,3.85,8,0,0,0,0,10
"10.1101/003848",TRUE,7.75,3,1,0,0,0,2
"10.1101/003913",TRUE,0.25,1,0,0,0,0,0
"10.1101/003756",TRUE,2.6,4,0,0,0,0,14
"10.1101/003897",TRUE,11.598,3,1,0,0,0,6
"10.1101/003954",TRUE,33.706,53,1,0,0,0,46
"10.1101/003863",TRUE,0.25,1,0,0,0,0,2
"10.1101/003871",TRUE,4.2,8,0,0,0,0,3
"10.1101/003939",TRUE,8.45,12,0,0,0,0,0
"10.1101/003962",TRUE,19.9,40,0,0,0,0,1
