"PREPRINT_DOI","ARTICLE_DOI","HAS_ALTMETRIC","ALT_SCORE","ALT_TWEETS","ALT_FEEDS","ALT_MSM","ALT_POLICIES","ALT_WIKIPEDIA","ALT_MENDELEY"
"10.1101/140145","10.1007/s00709-017-1196-7",TRUE,1.25,4,0,0,0,0,5
"10.1101/145037","10.1016/j.cub.2017.11.004",TRUE,56.2,102,0,0,0,0,43
"10.1101/184465","10.1371/journal.pcbi.1005796",TRUE,23,47,0,0,0,0,42
"10.1101/135004","10.1002/pro.3274",TRUE,11.85,18,0,0,0,0,24
"10.1101/079459","10.1038/s41598-017-14465-y",TRUE,1.5,5,0,0,0,0,10
"10.1101/144063","10.1038/s41598-017-13291-6",TRUE,0.75,3,0,0,0,0,20
"10.1101/070037","10.1016/j.neuroimage.2017.08.070",TRUE,1.5,4,0,0,0,0,55
"10.1101/130468","10.1016/j.ympev.2017.09.016",TRUE,1.25,2,0,0,0,0,19
"10.1101/042663","10.1038/ncomms11159",TRUE,0.75,2,0,0,0,0,83
"10.1101/094060","10.1105/tpc.17.00153",TRUE,36.8,60,0,0,0,0,79
"10.1101/090977","10.1371/journal.pone.0182638",TRUE,26.38,16,1,1,0,0,49
"10.1101/082677","10.1534/genetics.116.198911",TRUE,5.95,11,0,0,0,0,7
"10.1101/102673","10.1523/jneurosci.2728-16.2017",TRUE,3.85,8,0,0,0,0,184
"10.1101/076968","10.1073/pnas.1618065114",TRUE,5.35,10,0,0,0,0,33
"10.1101/025601","10.1534/g3.115.022129",TRUE,1.25,3,0,0,0,0,38
"10.1101/020313","10.1038/nature14684",TRUE,42.1,34,0,3,0,0,235
"10.1101/041418","10.1038/srep40294",FALSE,0,0,0,0,0,0,0
"10.1101/070581","10.1093/nar/gkw971",TRUE,34.65,61,0,0,0,0,203
"10.1101/031351","10.1186/s12862-016-0638-8",FALSE,0,0,0,0,0,0,0
"10.1101/047365","10.1371/journal.pcbi.1005212",TRUE,15.38,15,1,0,0,0,83
"10.1101/081000","10.1093/gigascience/gix056",TRUE,6.95,10,0,0,0,0,60
"10.1101/214460","10.1128/aem.01717-17",TRUE,2,5,0,0,0,0,15
"10.1101/169474","10.1534/genetics.117.300537",TRUE,1.25,2,0,0,0,0,21
"10.1101/006171","10.1371/journal.pgen.1004663",TRUE,12.2,20,0,0,0,0,255
"10.1101/026476","10.1093/sysbio/syv116",TRUE,19.2,22,1,0,0,0,97
"10.1101/047530","10.3389/fmicb.2016.00913",TRUE,6.95,13,0,0,0,0,49
"10.1101/143073","10.1371/journal.pcbi.1005891",TRUE,4,11,0,0,0,0,57
"10.1101/107631","10.7554/elife.30860",TRUE,26.5,46,0,0,0,0,109
"10.1101/115345","10.1186/s12859-017-1942-z",TRUE,13.6,23,0,0,0,0,22
"10.1101/182196","10.1128/jvi.01531-17",TRUE,1.5,5,0,0,0,0,12
"10.1101/089003","10.1186/s12918-017-0517-y",TRUE,11.45,24,0,0,0,0,41
"10.1101/094532","10.1093/bioinformatics/btx325",TRUE,2,7,0,0,0,0,42
