"PREPRINT_DOI","ARTICLE_DOI","AUTHOR_AGE"
"10.1101/068239","10.1111/eva.12486",21
"10.1101/068965","10.1073/pnas.1614613114",21
"10.1101/070581","10.1093/nar/gkw1092",21
"10.1101/071001","10.1111/1758-2229.12494",21
"10.1101/071597","10.1016/j.neuroimage.2017.02.089",21
"10.1101/071977","10.1007/s11571-017-9431-7",21
"10.1101/072306","10.1371/journal.pgen.1006558",21
"10.1101/073114","10.1038/gim.2017.32",21
"10.1101/073981","10.1088/1478-3975/aa64a7",21
"10.1101/074922","10.3389/fpls.2017.00524",21
"10.1101/076331","10.1093/molbev/msx141",21
"10.1101/076497","10.1002/ecy.1916",21
"10.1101/077586","10.1073/pnas.1611748114",21
"10.1101/077693","10.1186/s12860-017-0125-0",21
"10.1101/079913","10.1007/s10549-016-4047-x",21
"10.1101/080374","10.1016/j.neurobiolaging.2017.04.018",21
"10.1101/082016","10.1086/693781",21
"10.1101/082271","10.1086/692327",21
"10.1101/083436","10.1534/genetics.117.300262",21
"10.1101/083824","10.1038/s41562-017-0191-5",21
"10.1101/084970","10.3389/fnbeh.2017.00156",21
"10.1101/085126","10.1086/694116",21
"10.1101/085340","10.3389/fcimb.2017.00070",21
"10.1101/085837","10.1093/bioinformatics/btx163",21
"10.1101/086843","10.1371/journal.pmed.1002298",21
"10.1101/087338","10.1093/bioinformatics/btx605",21
"10.1101/088096","10.1002/ece3.3164",21
"10.1101/088807","10.1038/s41477-017-0041-5",21
"10.1101/088955","10.1371/journal.pgen.1007000",21
"10.1101/089342","10.1038/ng.3862",21
"10.1101/089441","10.1093/bioinformatics/btx328",21
"10.1101/089821","10.1093/dnares/dsx026",21
"10.1101/089953","10.3389/fgene.2017.00018",21
"10.1101/090563","10.1101/gad.296228.117",21
"10.1101/090845","10.1534/genetics.116.197541",21
"10.1101/090894","10.1086/692535",21
"10.1101/093617","10.1007/s00285-017-1139-0",21
"10.1101/095232","10.1093/cid/cix246",21
"10.1101/095380","10.1111/acel.12624",21
"10.1101/095778","10.1016/j.neuroimage.2017.06.066",21
"10.1101/096511","10.1534/genetics.116.192914",21
"10.1101/096636","10.1088/1751-8121/aa8e04",21
"10.1101/097113","10.1016/j.ymeth.2017.07.011",21
"10.1101/097907","10.1103/physreve.96.032601",21
"10.1101/099093","10.1093/nar/gkx276",21
"10.1101/099481","10.1007/s10453-017-9496-0",21
"10.1101/101139","10.1534/g3.117.300078",21
"10.1101/101527","10.1038/s41562-017-0234-y",21
"10.1101/105338","10.1093/ije/dyx208",21
"10.1101/107284","10.1016/j.actbio.2017.05.039",21
"10.1101/109397","10.1073/pnas.1706416114",21
"10.1101/109678","10.1017/thg.2017.34",21
"10.1101/109686","10.1016/j.ophtha.2017.04.008",21
"10.1101/109793","10.1007/s12041-017-0795-6",21
"10.1101/110148","10.3389/fgene.2017.00061",21
"10.1101/111138","10.1038/ng.3875",21
"10.1101/111377","10.1534/g3.117.043547",21
"10.1101/111955","10.1186/s12864-017-3926-9",21
"10.1101/112862","10.1093/toxsci/kfx095",21
"10.1101/113019","10.3389/fncir.2017.00035",21
"10.1101/113605","10.1016/j.tpb.2017.09.001",21
"10.1101/113878","10.1093/eurheartj/ehx352",21
"10.1101/115444","10.1073/pnas.1715236114",21
"10.1101/115667","10.1534/genetics.115.185116",21
"10.1101/116194","10.1016/j.jtbi.2017.08.028",21
"10.1101/117382","10.1126/science.aam6299",21
"10.1101/119545","10.1093/bioinformatics/btx605",21
"10.1101/122200","10.1093/infdis/jix405",21
"10.1101/124115","10.1534/genetics.115.185116",21
"10.1101/124263","10.1186/s13148-017-0416-5",21
"10.1101/125252","10.1093/infdis/jix502",21
"10.1101/126102","10.1093/ije/dyx092",21
"10.1101/127274","10.1534/g3.117.300078",21
"10.1101/128058","10.1128/mbio.01872-17",21
"10.1101/131276","10.1074/jbc.m117.781146",21
"10.1101/132399","10.1534/g3.117.300189",21
"10.1101/132704","10.1016/j.nicl.2017.06.029",21
"10.1101/133918","10.1093/jac/dkx332",21
"10.1101/134387","10.1242/jeb.166413",21
"10.1101/135236","10.1093/hmg/ddx368",21
"10.1101/135293","10.1186/s13073-017-0500-7",21
"10.1101/135301","10.1186/s13148-017-0409-4",21
"10.1101/135426","10.1038/gene.2017.11",21
"10.1101/135905","10.1103/physreve.95.052704",21
"10.1101/136085","10.1093/gbe/evx192",21
"10.1101/138172","10.1016/j.coisb.2017.07.005",21
"10.1101/141937","10.1073/pnas.1710742114",21
"10.1101/142414","10.1083/jcb.201708122",21
"10.1101/144022","10.1073/pnas.1706885114",21
"10.1101/147421","10.1016/j.immuni.2017.07.013",21
"10.1101/150110","10.1373/clinchem.2017.280354",21
"10.1101/152686","10.1016/j.ijms.2017.08.017",21
"10.1101/161596","10.1242/jeb.162289",21
"10.1101/162263","10.3389/fncir.2017.00079",21
"10.1101/163519","10.1186/s13072-017-0156-y",21
"10.1101/164236","10.3390/e19100558",21
"10.1101/164566","10.1080/20423489.2017.1408178",21
"10.1101/164657","10.1016/j.str.2017.10.008",21
"10.1101/164772","10.1186/s12711-017-0369-3",21
"10.1101/169755","10.1186/s13058-017-0912-8",21
"10.1101/171769","10.1186/s13227-017-0079-5",21
"10.1101/174623","10.1371/journal.pgen.1007046",21
"10.1101/175984","10.1093/femsyr/fox070",21
"10.1101/176784","10.1093/nar/gkx929",21
"10.1101/180158","10.1099/jgv.0.000973",21
"10.1101/186890","10.1080/15384101.2017.1387694",21
"10.1101/199802","10.3389/fmars.2017.00385",21
"10.1101/209213","10.1021/acs.biochem.7b00643",21
"10.1101/210187","10.1371/journal.pgen.1007140",21
"10.1101/211672","10.1083/jcb.201706101",21
"10.1101/214460","10.1128/aem.02300-17",21
"10.1101/215731","10.1080/09658211.2017.1309051",21
"10.1101/031518","10.1038/nature22044",21
